city;type;lat;long;y_proj;x_proj
arequipa;national;-16.41747;-71.46625;-1944138.065;2846025.481
arequipa;national;-16.4174;-71.46625;-1944129.839;2846026.399
arequipa;national;-16.4173;-71.46636;-1944116.696;2846015.235
arequipa;national;-16.41725;-71.4664;-1944110.314;2846011.354
arequipa;national;-16.41719;-71.46648;-1944102.251;2846003.067
arequipa;national;-16.41712;-71.46654;-1944093.266;2845997.181
arequipa;national;-16.41706;-71.46659;-1944085.583;2845992.297
arequipa;national;-16.41699;-71.46663;-1944076.851;2845988.678
arequipa;national;-16.41693;-71.46668;-1944069.167;2845983.794
arequipa;national;-16.41685;-71.4667;-1944059.514;2845982.575
arequipa;national;-16.41677;-71.46671;-1944049.986;2845982.49
arequipa;national;-16.41668;-71.46671;-1944039.411;2845983.671
arequipa;national;-16.41659;-71.4667;-1944028.962;2845985.985
arequipa;national;-16.4165;-71.46669;-1944018.513;2845988.3
arequipa;national;-16.41641;-71.46667;-1944008.19;2845991.748
arequipa;national;-16.41632;-71.46664;-1943997.994;2845996.331
arequipa;national;-16.41624;-71.46662;-1943988.847;2845999.649
arequipa;national;-16.41617;-71.4666;-1943980.875;2846002.835
arequipa;national;-16.41611;-71.46661;-1943973.698;2846002.488
arequipa;national;-16.41606;-71.46672;-1943966.43;2845990.668
arequipa;national;-16.41601;-71.46681;-1943959.415;2845981.116
arequipa;national;-16.41597;-71.46692;-1943953.323;2845969.165
arequipa;national;-16.41594;-71.46703;-1943948.405;2845957.083
arequipa;national;-16.41591;-71.46716;-1943943.234;2845942.732
arequipa;national;-16.41587;-71.46729;-1943936.889;2845928.512
arequipa;national;-16.41584;-71.46743;-1943931.591;2845913.028
arequipa;national;-16.41582;-71.46757;-1943927.469;2845897.412
arequipa;national;-16.41583;-71.46772;-1943926.746;2845880.268
