type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.2-10; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-10;-16.39257489;-71.56092737;-1940018.914;2835615.041;B
TRACK;1.4.2-10;-16.3926262;-71.56124566;-1940020.938;2835578.287;B
TRACK;1.4.2-10;-16.39297423;-71.56119529;-1940062.447;2835579.465;B
TRACK;1.4.2-10;-16.39314858;-71.56111752;-1940083.902;2835586.011;B
TRACK;1.4.2-10;-16.39321545;-71.56133426;-1940089.03;2835560.567;B
TRACK;1.4.2-10;-16.393374;-71.56125315;-1940108.671;2835567.697;B
TRACK;1.4.2-10;-16.39328067;-71.56084721;-1940102.815;2835614.936;B
TRACK;1.4.2-11; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-11;-16.39363548;-71.56078504;-1940145.268;2835617.361;B
TRACK;1.4.2-11;-16.39331195;-71.56084706;-1940106.49;2835614.545;B
TRACK;1.4.2-11;-16.39339543;-71.56122178;-1940111.583;2835570.975;B
TRACK;1.4.2-11;-16.39350662;-71.5611567;-1940125.46;2835576.904;B
TRACK;1.4.2-11;-16.3936729;-71.56104776;-1940146.36;2835587.089;B
TRACK;1.4.2-11;-16.39365502;-71.56092614;-1940145.789;2835601.11;B
TRACK;1.4.2-12; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-12;-16.39365197;-71.56077718;-1940147.304;2835618.037;B
TRACK;1.4.2-12;-16.39366779;-71.56089687;-1940147.657;2835604.262;B
TRACK;1.4.2-12;-16.39369786;-71.56105647;-1940149.182;2835585.776;B
TRACK;1.4.2-12;-16.39390805;-71.56123712;-1940171.596;2835562.558;B
TRACK;1.4.2-12;-16.3940315;-71.56125079;-1940185.924;2835559.399;B
TRACK;1.4.2-12;-16.3939764;-71.56073511;-1940185.937;2835618.581;B
TRACK;1.4.2-13; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-13;-16.39399466;-71.56073055;-1940188.139;2835618.86;B
TRACK;1.4.2-13;-16.39404653;-71.5612476;-1940187.728;2835559.565;B
TRACK;1.4.2-13;-16.39433133;-71.56122028;-1940221.521;2835558.952;B
TRACK;1.4.2-13;-16.39426311;-71.56069041;-1940220.173;2835619.914;B
TRACK;1.4.2-14; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-14;-16.39412645;-71.56127269;-1940196.8;2835555.68;B
TRACK;1.4.2-14;-16.39387965;-71.56125143;-1940168.081;2835561.305;B
TRACK;1.4.2-14;-16.39384163;-71.56128204;-1940163.23;2835558.33;B
TRACK;1.4.2-14;-16.39393468;-71.56135732;-1940173.212;2835548.583;B
