sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm
Y,183,2023,183_2023,Caso013,NA,MARIANO MELGAR,AV JESUS 513,COMUNITARIO,2023-04-30,2023-04-26,2023-05-02,2023-05-02,2023-05-03,2023-05-05,6,9,-71.513625905119298,-16.407912161991099,872505.76547447697,8182775.2707465198
Y,270,2023,270_2023,Caso019,NA,SOCABAYA,URB SAN FRANCISCO SAN PABLO D_8,NA,2023-06-17,2023-06-14,2023-06-17,2023-06-17,2023-06-20,2023-06-21,3,7,-71.540769370081406,-16.457908920042801,869508.37197364296,8177285.8963464899
Y,273,2023,273_2023,Caso020,NA,MARIANO MELGAR,: Ampliación ATALAYA mz Q - lote 2, Referencia: Cerca al cruce de Atalaya,CON DUENHO,2023-06-21,2023-06-18,2023-06-21,2023-06-21,2023-06-21,2023-06-23,3,5,-71.496680404817099,-16.3962141578724,874340.32749456901,8184040.0775149297
Y,297,2023,297_2023,Caso022,NA,CERRO COLORADO,Calle prolongación progreso s/n - Atahualpa (al lado del club Lord Byron),CON DUENHO,2023-07-21,2023-07-19,2023-07-21,2023-07-22,2023-07-24,2023-07-26,2,7,-71.567698116032005,-16.395437762312099,866746.85703294002,8184256.0082974201
Y,358,2023,358_2023,Caso027,NA,JLBYR,Parqueo IREN - JLByR,SIN DUENHO,2023-10-18,2023-10-18,2023-10-18,2023-10-18,2023-10-19,2023-10-20,0,2,-71.530087544073098,-16.414806195247699,870732.29473316297,8182041.6991017703
Y,41,2024,41_2024,Caso001,NA,MARIANO MELGAR,SAN GERONIMO,SIN DUEHO,2024-02-02,NA,NA,2024-02-02,2024-02-02,2024-02-06,NA,NA,-71.481099620021993,-16.4022444570295,875995.06598870899,8183343.0865082201
Y,54,2024,54_2024,Caso002,NA,CERRO COLORADO,Villa Progreso,CON DUENHO,2024-02-13,NA,2024-02-13,2024-02-13,2024-02-14,2024-02-15,NA,NA,-71.547669152119795,-16.3104261465947,869048.77057511103,8193637.9603396105
Y,151,2024,151_2024,Caso003,NA,CERRO COLORADO,Las Gardenias,CON DUENHO,2024-04-13,2024-04-13,2024-04-13,2024-04-13,2024-04-15,2024-04-18,0,5,-71.563368053462597,-16.3204372082105,867350.451544674,8192557.2584491204
Y,162,2024,162_2024,Caso004,NA,PAUCARPATA,Villa Maria el Triunfo,SIN DUENHO,2024-04-29,2024-04-27,2024-04-29,2024-04-29,2024-04-29,2024-05-03,2,6,-71.510379618804507,-16.419827203884399,872830.17474240495,8181449.1936279098
N,130,2016,130_2016,13,5,CERRO COLORADO,VILLA CERRILLOS,NA,NA,2016-04-04,2016-04-05,2016-04-05,2016-04-05,2016-04-07,1,3,-71.582785902617402,-16.3165223462664,865280.37234743196,8193025.9228719603
N,166,2016,166_2016,NA,8,CERRO COLORADO,JOSE MARIA ARGUEDAS,NA,2016-04-25,2016-04-21,2016-04-25,2016-04-25,2016-04-26,2016-04-26,4,5,-71.550783449334006,-16.314331767556801,868708.24828991597,8193210.9068613797
N,357,2016,357_2016,NA,12,CERRO COLORADO,CIUDAD MUNICIPAL,NA,2016-07-11,2016-07-09,2016-07-10,2016-07-11,2016-07-11,2016-07-12,1,3,-71.5873674456126,-16.322868469449698,864778.44554136798,8192331.0878651999
