taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
358_2023_18-Oct-23	-71.530088	-16.414806	jlbyr	358	2023	Caso027	NA	Parqueo IREN - JLByR	SIN DUENHO	20/10/23	0	2	18-Oct-23	DOG	-71.530088	-16.414806			
367_2015_13-Jul-15	-71.507208	-16.408133	mmelgar	367	2015	9	NA	SANTA ROSA	CON DUENHO	NA	4	NA	13-Jul-15	DOG	-71.507208	-16.408133			
374_2018_6-Oct-18	-71.627045	-16.293726	yura	374	2018	Caso037	NA	CIUDAD DE DIOS	NA	11/10/18	NA	NA	6-Oct-18	DOG	-71.627045	-16.293726			
375_2017_23-Nov-17	-71.495013	-16.396576	mmelgar	375	2017	Caso046	NA	ASC LOS ROSALES MZ E LT 2		NA	NA	NA	23-Nov-17	DOG	-71.495013	-16.396576			
375_2018_8-Oct-18	-71.618325	-16.309102	yura	375	2018	Caso038	NA	CIUDAD DE DIOS	NA	11/10/18	NA	NA	8-Oct-18	DOG	-71.618325	-16.309102			
386_2016_21-Jul-16	-71.496126	-16.405755	mmelgar	386	2016		NA	PPJJ ARTURO VILLEGAS MZ A LT 5		NA	NA	NA	21-Jul-16	DOG	-71.496126	-16.405755			
4_2023_6-Jan-23	-71.524679	-16.351251	asa	4	2023	Caso001	NA	VILLA CONFRATERNIDAD AGRUPAMIENTO FAMILIAR ZC C MZ 3  LT 10	SIN DUENHO	11/1/23	NA	NA	6-Jan-23	DOG	-71.524679	-16.351251			
40_2021_9-Feb-21	-71.553594	-16.319824	ccolorado	40	2021	Caso015	NA	PEDRO P DIAZ	NA	19/02/21	4	10	9-Feb-21	DOG	-71.553594	-16.319824			
40_2025_8-Mar-25	-71.493774	-16.376271	miraflores	40	2025	Caso002	NA	Galaxias	CON DUENHO	NA	NA	NA	8-Mar-25	DOG	-71.493774	-16.376271			
402_2017_15-Dec-17	-71.579798	-16.353709	ccolorado	402	2017	Caso047	NA	VIA DE EVITAMIENTO KM 6.5		NA	NA	NA	15-Dec-17	DOG	-71.579798	-16.353709			
41_2020_10-Feb-20	-71.609154	-16.317721	yura	41	2020	Caso005	NA	NA	CON DUENHO	14/02/20	1	4	10-Feb-20	DOG	-71.609154	-16.317721			
41_2024_2-Feb-24	-71.4811	-16.402244	mmelgar	41	2024	Caso001	NA	SAN GERONIMO	SIN DUEHO	6/2/24	NA	NA	2-Feb-24	DOG	-71.4811	-16.402244			
42_2020_6-Feb-20	-71.493821	-16.428706	paucarpata	42	2020	Caso006	NA	NA	NA	15/02/20	3	9	6-Feb-20	DOG	-71.493821	-16.428706			
