group,date,decimal-date,root-to-tip-distance,label
"ccolarado","2017-06-12","2017.4438356164383","0.007036406816374939","201_2017"
"ccolarado","2018-09-17","2018.7095890410958","0.007485559816374939","333_2018"
"ccolarado","2018-01-28","2018.0739726027398","0.007251105816374939","35_2018"
"ccolarado","2018-02-10","2018.109589041096","0.007407422816374939","51_2018"
"ccolarado","2021-02-24","2021.1479452054793","0.008267731816374939","61_2021"
"ccolarado","2021-01-22","2021.0575342465754","0.00803343281637494","15_2021"
"ccolarado","2021-01-08","2021.0191780821917","0.00811147581637494","10_2021"
"ccolarado","2021-07-14","2021.531506849315","0.006547334816374939","231_2021"
"ccolarado","2016-10-15","2016.7868852459017","0.00670325781637494","495_2016"
"ccolarado","2016-07-09","2016.51912568306","0.006859721816374939","357_2016"
"ccolarado","2017-01-05","2017.0109589041097","0.007094105816374939","12_2017"
"ccolarado","2016-09-15","2016.704918032787","0.007324708816374939","442_2016"
"ccolarado","2016-11-17","2016.877049180328","0.007251288816374939","534_2016"
"ccolarado","2016-05-24","2016.3934426229507","0.00701600181637494","234_2016"
"ccolarado","2017-01-28","2017.0739726027398","0.00685965281637494","57_2017"
"ccolarado","2016-12-07","2016.931693989071","0.00709409981637494","562_2016"
"ccolarado","2017-07-29","2017.572602739726","0.00701591581637494","259_2017"
"ccolarado","2016-12-19","2016.964480874317","0.00685957981637494","576_2016"
"ccolarado","2017-08-13","2017.613698630137","0.007015981816374939","275_2017"
"ccolarado","2016-12-07","2016.931693989071","0.006703250816374939","563_2016"
"ccolarado","2021-02-25","2021.150684931507","0.00690193181637494","56_2021"
"ccolarado","2018-11-25","2018.8986301369864","0.0073285838163749395","447_2018"
"ccolarado","2018-04-06","2018.2602739726028","0.007253779816374939","140_2018"
"ccolarado","2019-03-16","2019.2027397260274","0.007253777816374939","88_2019"
"ccolarado","2019-08-16","2019.6219178082192","0.00701588781637494","255_2019"
"ccolarado","2019-01-24","2019.0630136986301","0.00709405681637494","24_2019"
"ccolarado","2021-02-09","2021.1068493150685","0.0074068738163749395","40_2021"
"ccolarado","2023-03-13","2023.194520547945","0.00865899281637494","100_2023"
"ccolarado","2022-06-06","2022.427397260274","0.00787643881637494","145_2022"
"ccolarado","2022-09-26","2022.7342465753425","0.008032178816374939","266_2022"
"ccolarado","2023-02-15","2023.123287671233","0.00826706981637494","56_2023"
"ccolarado","2022-10-08","2022.7671232876712","0.00787584681637494","280_2022"
"ccolarado","2023-07-19","2023.545205479452","0.008110412816374939","297_2023"
"characato","2022-08-20","2022.6328767123289","0.008293723816374941","219_2022"
"characato","2022-09-12","2022.695890410959","0.008267960816374943","246_2022"
"characato","2022-10-13","2022.7808219178082","0.008427654816374943","286_2022"
"hunter","2017-01-03","2017.0054794520547","0.00662405781637494","2_2017"
"hunter","2022-03-21","2022.2164383561644","0.00788096981637494","69_2022"
"hunter","2022-06-17","2022.4575342465753","0.008108432816374942","158_2022"
"hunter","2022-07-11","2022.5232876712328","0.008345976816374941","173_2022"
"jlbyr","2019-10-07","2019.7643835616439","0.0070805128163749405","312_2019"
"jlbyr","2016-09-26","2016.7349726775956","0.0067021968163749395","468_2016"
"jlbyr","2018-04-23","2018.3068493150686","0.00709176781637494","162_2018"
"jlbyr","2018-03-17","2018.2054794520548","0.007248040816374941","92_2018"
"jlbyr","2023-10-06","2023.7616438356165","0.008342674816374943","348_2023"
"jlbyr","2023-10-18","2023.7945205479452","0.008420835816374943","358_2023"
"jlbyr","2018-03-20","2018.213698630137","0.006947799816374939","93_2018"
"jlbyr","2018-01-24","2018.0630136986301","0.006546942816374939","22_2018"
"miraflores","2024-08-07","2024.5983606557377","0.008424576183625061","219_2024"
"miraflores","2019-09-14","2019.7013698630137","0.0071641648163749405","289_2019"
"miraflores","2019-07-23","2019.5561643835617","0.007471307816374941","225_2019"
"miraflores","2016-03-01","2016.1639344262296","0.00678535081637494","69_2016"
"miraflores","2015-03-22","2015.2191780821918","0.00662444181637494","73_2015"
